station_id,camera_id,range,zone_type,latitude,longitude,habitat,trail_type,camera_type,nearest_village,nearest_village_km,nearest_water_km,nearest_road_km,trap_nights,total_detections,n_failures
CAM-0001,CAM-0001,East Pench,core_forest,21.645854,79.319692,teak_forest,streambed,Camera Trap (Wildlife),Sillari,7.71,1.16,5.63,11.0,22,1
CAM-0002,CAM-0002,East Pench,core_forest,21.622489,79.301077,mixed_forest,streambed,Camera Trap (Wildlife),Sillari,8.72,3.75,3.72,41.0,82,2
CAM-0003,CAM-0003,East Pench,core_forest,21.609939,79.300875,bamboo,animal_trail,Camera Trap (Wildlife),Pipariya,8.33,4.31,3.7,34.0,68,2
CAM-0004,CAM-0004,East Pench,core_forest,21.66184,79.334762,riparian_forest,animal_trail,Camera Trap (Wildlife),Karmajhiri,6.34,1.4,7.19,16.0,32,2
CAM-0005,CAM-0005,East Pench,core_forest,21.64043,79.340563,riparian_forest,animal_trail,Camera Trap (Wildlife),Sillari,5.56,1.52,7.78,35.5,71,5
CAM-0006,CAM-0006,East Pench,core_forest,21.625225,79.318854,bamboo,animal_trail,Camera Trap (Wildlife),Sillari,6.97,2.98,5.55,18.5,37,2
CAM-0007,CAM-0007,East Pench,core_forest,21.69906,79.355968,mixed_forest,animal_trail,Camera Trap (Wildlife),Kolitmara,3.02,4.86,9.37,5.5,11,4
CAM-0008,CAM-0008,East Pench,core_forest,21.609576,79.316853,mixed_forest,streambed,Camera Trap (Wildlife),Pipariya,6.83,4.69,5.34,16.5,33,6
CAM-0009,CAM-0009,East Pench,core_forest,21.66145,79.296989,teak_forest,waterhole_approach,Camera Trap (Wildlife),Manegaon,9.37,1.35,3.29,36.0,72,4
CAM-0010,CAM-0010,East Pench,core_forest,21.699579,79.338307,teak_forest,waterhole_approach,Camera Trap (Wildlife),Totladoh,4.54,4.79,7.55,5.5,11,2
CAM-0011,CAM-0011,East Pench,core_forest,21.680818,79.296324,mixed_forest,forest_road,Camera Trap (Wildlife),Manegaon,7.26,2.71,3.23,25.0,50,4
CAM-0012,CAM-0012,East Pench,core_forest,21.69795,79.297865,teak_forest,animal_trail,Camera Trap (Wildlife),Manegaon,5.37,4.39,3.39,3.0,6,1
CAM-0013,CAM-0013,East Pench,core_forest,21.644528,79.299705,teak_forest,crossing,Camera Trap (Wildlife),Sillari,9.5,2.02,3.57,22.5,45,1
CAM-0014,CAM-0014,East Pench,core_forest,21.608399,79.358705,teak_forest,streambed,Camera Trap (Wildlife),Sillari,2.74,5.48,9.65,34.0,68,1
CAM-0015,CAM-0015,East Pench,core_forest,21.64353,79.358313,teak_forest,animal_trail,Camera Trap (Wildlife),Pangdi,3.8,3.0,9.61,19.0,38,3
CAM-0016,CAM-0016,East Pench,core_forest,21.662339,79.320583,riparian_forest,streambed,Camera Trap (Wildlife),Kolitmara,7.56,1.12,5.73,31.5,63,4
CAM-0017,CAM-0017,East Pench,core_forest,21.696118,79.31596,mixed_forest,animal_trail,Camera Trap (Wildlife),Manegaon,5.46,4.06,5.25,3.0,6,2
CAM-0018,CAM-0018,East Pench,core_forest,21.623605,79.35515,teak_forest,animal_trail,Camera Trap (Wildlife),Sillari,3.33,3.91,9.29,28.0,56,3
CAM-0019,CAM-0019,East Pench,core_forest,21.626318,79.338994,mixed_forest,animal_trail,Camera Trap (Wildlife),Sillari,5.0,2.79,7.62,48.0,96,1
CAM-0020,CAM-0020,East Pench,core_forest,21.661356,79.356827,grassland,streambed,Camera Trap (Wildlife),Karmajhiri,4.13,3.04,9.46,1.0,2,4
CAM-0021,CAM-0021,West Pench,core_forest,21.660388,79.161413,mixed_forest,ridge,Camera Trap (Wildlife),Ghiregaon,6.21,6.95,10.67,23.5,47,2
CAM-0022,CAM-0022,West Pench,core_forest,21.714623,79.203699,teak_forest,ridge,Camera Trap (Wildlife),Hiwra,4.95,3.27,6.31,20.0,40,2
CAM-0023,CAM-0023,West Pench,core_forest,21.698385,79.14569,mixed_forest,forest_road,Camera Trap (Wildlife),Pitesur,3.41,4.58,12.29,44.0,88,3
CAM-0024,CAM-0024,West Pench,core_forest,21.699067,79.200892,bamboo,animal_trail,Camera Trap (Wildlife),Bodalkasa,6.2,3.72,6.6,31.0,62,2
CAM-0025,CAM-0025,West Pench,core_forest,21.679297,79.184406,mixed_forest,streambed,Camera Trap (Wildlife),Bodalkasa,7.19,6.23,8.3,16.5,33,4
CAM-0026,CAM-0026,West Pench,core_forest,21.661419,79.202975,mixed_forest,animal_trail,Camera Trap (Wildlife),Bodalkasa,9.78,5.17,6.39,36.5,73,4
CAM-0027,CAM-0027,West Pench,core_forest,21.713362,79.181053,teak_forest,ridge,Camera Trap (Wildlife),Bodalkasa,3.67,3.62,8.65,10.0,20,2
CAM-0028,CAM-0028,West Pench,core_forest,21.714657,79.165287,teak_forest,crossing,Camera Trap (Wildlife),Bodalkasa,2.87,2.7,10.27,0.5,1,2
CAM-0029,CAM-0029,West Pench,core_forest,21.716244,79.144024,mixed_forest,forest_road,Camera Trap (Wildlife),Mogra,2.1,2.81,12.46,1.0,2,3
CAM-0030,CAM-0030,West Pench,core_forest,21.658278,79.182343,teak_forest,animal_trail,Camera Trap (Wildlife),Ghiregaon,8.32,7.12,8.51,65.5,131,3
CAM-0031,CAM-0031,West Pench,core_forest,21.682028,79.142899,teak_forest,crossing,Camera Trap (Wildlife),Ghiregaon,3.91,6.41,12.58,70.0,140,2
CAM-0032,CAM-0032,West Pench,core_forest,21.70015,79.180221,mixed_forest,forest_road,Camera Trap (Wildlife),Bodalkasa,4.89,4.78,8.73,4.0,8,3
CAM-0033,CAM-0033,West Pench,core_forest,21.679446,79.200519,mixed_forest,streambed,Camera Trap (Wildlife),Bodalkasa,7.91,4.91,6.64,7.5,15,4
CAM-0034,CAM-0034,West Pench,core_forest,21.663106,79.142701,bamboo,animal_trail,Camera Trap (Wildlife),Ghiregaon,4.31,6.05,12.6,24.0,48,3
CAM-0035,CAM-0035,West Pench,core_forest,21.698035,79.164317,mixed_forest,waterhole_approach,Camera Trap (Wildlife),Bodalkasa,4.68,4.48,10.37,4.0,8,5
CAM-0036,CAM-0036,West Pench,core_forest,21.680961,79.161585,teak_forest,forest_road,Camera Trap (Wildlife),Pitesur,5.78,6.34,10.65,4.0,8,4
CAM-0037,CAM-0037,Chorbahuli,core_forest,21.627916,79.223226,grassland,streambed,Camera Trap (Wildlife),Wadamba,10.72,3.35,4.3,25.5,51,5
CAM-0038,CAM-0038,Chorbahuli,core_forest,21.623079,79.258551,teak_forest,streambed,Camera Trap (Wildlife),Khapa,12.69,1.02,0.66,19.5,39,2
CAM-0039,CAM-0039,Chorbahuli,core_forest,21.65985,79.243359,teak_forest,ridge,Camera Trap (Wildlife),Bandara,10.37,1.78,2.23,63.0,126,2
CAM-0040,CAM-0040,Chorbahuli,core_forest,21.658456,79.260446,mixed_forest,animal_trail,Camera Trap (Wildlife),Bandara,10.38,1.84,0.47,31.0,62,5
CAM-0041,CAM-0041,Chorbahuli,core_forest,21.640701,79.238195,teak_forest,forest_road,Camera Trap (Wildlife),Bandara,12.56,1.31,2.76,21.0,42,2
CAM-0042,CAM-0042,Chorbahuli,core_forest,21.640737,79.27942,teak_forest,forest_road,Camera Trap (Wildlife),Sillari,11.33,0.97,1.49,7.0,14,2
CAM-0043,CAM-0043,Chorbahuli,core_forest,21.642541,79.260745,teak_forest,streambed,Camera Trap (Wildlife),Bandara,12.15,0.99,0.44,14.0,28,3
CAM-0044,CAM-0044,Chorbahuli,core_forest,21.680142,79.238608,mixed_forest,animal_trail,Camera Trap (Wildlife),Bandara,8.28,3.33,2.72,7.5,15,3
CAM-0045,CAM-0045,Chorbahuli,core_forest,21.660499,79.22207,teak_forest,forest_road,Camera Trap (Wildlife),Hiwra,10.85,3.35,4.42,43.0,86,3
CAM-0046,CAM-0046,Chorbahuli,core_forest,21.678507,79.262817,teak_forest,crossing,Camera Trap (Wildlife),Bandara,8.16,3.95,0.22,51.5,103,3
CAM-0047,CAM-0047,Chorbahuli,core_forest,21.622745,79.237739,bamboo,animal_trail,Camera Trap (Wildlife),Wadamba,11.37,2.77,2.81,17.5,35,5
CAM-0048,CAM-0048,Chorbahuli,core_forest,21.641215,79.222714,teak_forest,ridge,Camera Trap (Wildlife),Wadamba,11.84,2.84,4.36,10.5,21,4
CAM-0049,CAM-0049,Chorbahuli,core_forest,21.67811,79.223583,mixed_forest,forest_road,Camera Trap (Wildlife),Hiwra,8.91,3.73,4.27,16.0,32,2
CAM-0050,CAM-0050,Chorbahuli,core_forest,21.681894,79.279911,bamboo,streambed,Camera Trap (Wildlife),Manegaon,7.66,3.94,1.54,16.5,33,1
CAM-0051,CAM-0051,Chorbahuli,core_forest,21.662919,79.281208,teak_forest,animal_trail,Camera Trap (Wildlife),Manegaon,9.58,2.79,1.67,4.0,8,4
CAM-0052,CAM-0052,Chorbahuli,core_forest,21.622385,79.277484,mixed_forest,animal_trail,Camera Trap (Wildlife),Pipariya,11.09,1.54,1.29,31.5,63,8
CAM-0053,CAM-0053,Devalapar,core_forest,21.715437,79.239766,teak_forest,crossing,Camera Trap (Wildlife),Bandara,4.56,0.78,2.6,32.0,64,3
CAM-0054,CAM-0054,Devalapar,core_forest,21.714159,79.218764,teak_forest,forest_road,Camera Trap (Wildlife),Hiwra,4.88,1.74,4.76,25.5,51,1
CAM-0055,CAM-0055,Devalapar,core_forest,21.69942,79.218717,bamboo,streambed,Camera Trap (Wildlife),Hiwra,6.51,2.05,4.77,48.0,96,2
CAM-0056,CAM-0056,Devalapar,core_forest,21.733428,79.222533,mixed_forest,animal_trail,Camera Trap (Wildlife),Hiwra,2.84,2.9,4.37,93.5,187,4
CAM-0057,CAM-0057,Devalapar,core_forest,21.698333,79.242697,teak_forest,ridge,Camera Trap (Wildlife),Bandara,6.22,1.52,2.3,19.5,39,6
CAM-0058,CAM-0058,Devalapar,core_forest,21.732365,79.240013,teak_forest,animal_trail,Camera Trap (Wildlife),Bandara,3.0,2.1,2.57,63.0,126,3
CAM-0059,CAM-0059,Devalapar,core_forest,21.715107,79.260555,riparian_forest,ridge,Camera Trap (Wildlife),Bandara,4.09,1.29,0.46,37.5,75,1
CAM-0060,CAM-0060,Devalapar,core_forest,21.697199,79.259032,bamboo,waterhole_approach,Camera Trap (Wildlife),Bandara,6.08,2.28,0.61,17.5,35,3
CAM-0061,CAM-0061,Devalapar,core_forest,21.733696,79.262554,teak_forest,animal_trail,Camera Trap (Wildlife),Bandara,2.05,2.56,0.25,26.0,52,5
