event_id,tiger_id,filename,timestamp,camera_id,latitude,longitude,grid_id,zone,zone_type,habitat,range,station_id,trail_type,previous_camera,distance_from_previous_km,bearing_deg,estimated_travel_time_hr,home_range_id,distance_from_hr_center_km,inside_home_range,distance_to_core_boundary_km,distance_to_buffer_km,distance_to_village_km,nearest_village,distance_to_water_km,nearest_water,prey_density,water_availability,human_disturbance,camera_operational,camera_detection_probability,image_quality,reid_confidence,movement_state,behavioral_state,season,alert_level,ambient_temp_c,lighting_condition,camera_type,nearest_village_dist_km,event_type,anomaly_type,anomaly_confidence
df3bd283-6a3,0,001703.jpg,2022-06-01 00:00:00,CAM-0066,21.606452,79.160942,G006003,core_forest,core_forest,teak_forest,Saleghat,CAM-0066,animal_trail,,0.0,0.0,0.0,HR-0,0.464,True,2.793,6.759,5.744,Wadamba,1.338,Saleghat Nala,0.682,0.425,0.131,True,0.302,good_ir,0.71,RESTING,resting,summer,SAFE,28.6,Night (IR Flash),Camera Trap (Wildlife),5.744,observation,normal,0.0
de2f5792-f9b,3,002695.jpg,2022-06-01 00:00:00,CAM-0119,21.753599,79.261957,G014008,buffer,buffer,teak_forest,North Buffer,CAM-0119,forest_road,,0.0,0.0,0.0,HR-3,0.137,True,0.564,2.011,0.269,Bandara,5.579,Pench River North,0.382,0.068,0.746,True,0.326,good_ir,0.71,SLOW,slow_movement,summer,CAUTION,29.5,Night (IR Flash),CCTV / Solar Camera,0.269,observation,first_buffer_entry,0.55
e6ed88f4-e1c,6,001520.jpg,2022-06-01 00:00:00,CAM-0111,21.62798,79.12392,G007001,buffer,buffer,scrub,West Buffer,CAM-0111,crossing,,0.0,0.0,0.0,HR-6,0.589,True,0.915,2.655,2.813,Bodhali,5.595,Saleghat Nala,0.378,0.057,0.447,True,0.617,good_ir,0.7,SLOW,slow_movement,summer,CAUTION,28.1,Night (IR Flash),Camera Trap (Wildlife),2.813,observation,first_buffer_entry,0.55
2fa9d405-bb8,12,002064.jpg,2022-06-01 00:00:00,CAM-0064,21.591622,79.201925,G005005,core_forest,core_forest,riparian_forest,Saleghat,CAM-0064,streambed,,0.0,0.0,0.0,HR-12,0.247,True,4.476,10.057,6.315,Wadamba,0.364,Jamni River,0.802,0.518,0.12,True,0.487,good_ir,0.72,RESTING,resting,summer,SAFE,26.9,Night (IR Flash),Camera Trap (Wildlife),6.315,observation,normal,0.0
04b6e268-094,24,003503.jpg,2022-06-01 00:00:00,CAM-0066,21.606452,79.160942,G006003,core_forest,core_forest,teak_forest,Saleghat,CAM-0066,animal_trail,,0.0,0.0,0.0,HR-24,0.707,True,2.793,6.759,5.744,Wadamba,1.338,Saleghat Nala,0.682,0.425,0.131,True,0.212,partial,0.56,RESTING,resting,summer,SAFE,28.1,Night (IR Flash),Camera Trap (Wildlife),5.744,observation,normal,0.0
d9d9a3a9-2d8,34,003689.jpg,2022-06-01 00:00:00,CAM-0120,21.753893,79.184744,G014004,buffer,buffer,teak_forest,North Buffer,CAM-0120,forest_road,,0.0,0.0,0.0,HR-34,0.039,True,1.051,2.115,2.38,Chikhli,7.109,Pench River North,0.435,0.0,0.452,True,0.611,good_ir,0.71,RESTING,resting,summer,CAUTION,29.8,Night (IR Flash),CCTV / Solar Camera,2.38,observation,first_buffer_entry,0.55
2d32373f-0bb,39,003045.jpg,2022-06-01 00:00:00,CAM-0070,21.622399,79.199789,G007005,core_forest,core_forest,teak_forest,Saleghat,CAM-0070,animal_trail,,0.0,0.0,0.0,HR-39,0.617,True,7.363,11.077,8.789,Wadamba,3.636,Jamni River,0.579,0.191,0.05,True,0.329,good_ir,0.71,RESTING,resting,summer,SAFE,29.8,Night (IR Flash),Camera Trap (Wildlife),8.789,observation,water_driven_movement,0.5
bceb7778-745,43,001915.jpg,2022-06-01 00:00:00,CAM-0037,21.627916,79.223226,G007006,core_forest,core_forest,grassland,Chorbahuli,CAM-0037,streambed,,0.0,0.0,0.0,HR-43,0.399,True,8.942,13.678,10.719,Wadamba,4.309,NH-44 Culvert Pool,0.684,0.161,0.05,True,0.439,partial_ir,0.48,SLOW,slow_movement,summer,SAFE,27.0,Night (IR Flash),Camera Trap (Wildlife),10.719,observation,water_driven_movement,0.5
d4b0f72d-7be,60,002204.jpg,2022-06-01 00:00:00,CAM-0039,21.65985,79.243359,G009007,core_forest,core_forest,teak_forest,Chorbahuli,CAM-0039,ridge,,0.0,0.0,0.0,HR-60,0.5,True,9.897,12.511,10.371,Bandara,3.519,Pench River Main,0.744,0.199,0.05,True,0.799,good_ir,0.73,SLOW,slow_movement,summer,SAFE,27.3,Night (IR Flash),Camera Trap (Wildlife),10.371,observation,water_driven_movement,0.5
44d1d27a-f86,66,000025.jpg,2022-06-01 00:00:00,CAM-0096,21.518405,79.2607,G001008,buffer,buffer,mixed_forest,Nagalwadi Buffer,CAM-0096,ridge,,0.0,0.0,0.0,HR-66,0.744,True,3.345,1.941,2.266,Chargaon,9.802,Jamni River,0.371,0.0,0.67,True,0.191,occluded,0.39,RESTING,resting,summer,CAUTION,28.1,Night (IR Flash),Camera Trap (Wildlife),2.266,observation,first_buffer_entry,0.55
